step,variable,mae,n
18,anion_gap,0.2369159880421666,1034
18,albumin,0.06182470961531162,147
18,platelets,5.616014996965053,967
18,bilirubin_total,0.12874313953638172,276
18,magnesium,0.03510749394206548,1021
19,heart_rate,5.522568449996979,2408
19,arterial_bp_mean,5.392051975667397,1097
19,respiratory_rate,8.398704107351836,2408
19,spo2,1.0812818199074659,2408
19,temperature_f,0.3718440845414054,2382
19,gcs_total,0.4164991772960333,2405
19,lactate,0.573600922190392,200
19,creatinine,0.1093013643673186,1048
19,bun,1.444520815798927,1047
19,wbc,0.7770954219056107,961
19,hemoglobin,0.17925407215726366,966
19,bicarbonate,0.3210281935479983,1034
19,glucose_lab,6.669507079321593,1028
19,potassium,0.05352806562606407,1072
19,sodium,0.5660337193940052,1078
19,anion_gap,0.2355445174680621,1034
19,albumin,0.06292598206680294,147
19,platelets,5.619575328968888,967
19,bilirubin_total,0.12975812816152876,276
19,magnesium,0.03524195036361248,1021
20,heart_rate,5.5943345086444785,2408
20,arterial_bp_mean,5.502398448428471,1097
20,respiratory_rate,8.625588930746627,2408
20,spo2,0.9956952534031663,2408
20,temperature_f,0.3375013137940132,2382
20,gcs_total,0.4247389599136774,2405
20,lactate,0.5738519201595956,200
20,creatinine,0.11013341768930801,1048
20,bun,1.448393702787786,1047
20,wbc,0.77910918795219,961
20,hemoglobin,0.17962804943207505,966
20,bicarbonate,0.3193192726468872,1034
20,glucose_lab,6.749655521812799,1028
20,potassium,0.05339958353176037,1072
20,sodium,0.5661940750068924,1078
20,anion_gap,0.23547234594070388,1034
20,albumin,0.0632932687960198,147
20,platelets,5.621746827270737,967
20,bilirubin_total,0.13026419894983848,276
20,magnesium,0.03507844332826563,1021
21,heart_rate,5.522522462862427,2408
21,arterial_bp_mean,5.457779268582189,1097
21,respiratory_rate,8.139366469099725,2408
21,spo2,0.98087363647733,2408
21,temperature_f,0.3649865971175989,2382
21,gcs_total,0.42398609000562393,2405
21,lactate,0.565955338433904,200
21,creatinine,0.11066676768786067,1048
21,bun,1.4577237544870747,1047
21,wbc,0.7806728380102712,961
21,hemoglobin,0.17901223829856122,966
